BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,145.76,0
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5022033.22,1789803.9
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,17355.95,529.53
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,106411.74,35522.72
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,17932.36,6991.5
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,19147.88,6735
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,133563.93,44491.59
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,36471.25,29873.78
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,5353062.09,1913948.02
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,5353062.09,1913948.02
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1923761.52,671370.11
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,521.77,521.77
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,222,200
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5370.12,4452.35
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3867.22,3123.54
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,222.47,14.83
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1933965.1,679682.6
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,1933965.1,679682.6
,2020 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11159.92,11159.92
,2020 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,11159.92,11159.92
,2020 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,OFFICE TOTALS:,11159.92,11159.92
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3081225.63,1054725.02
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,461.77,398.46
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,69159.96,27296.21
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,17261.21,6672.58
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,78803,30682.24
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,49562.53,18292.45
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,82481.81,11604.44
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,3378955.91,1149671.4
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,75933.33,25500
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE SECRETARY,CONFERENCE SECRETARY TOTALS:,75933.33,25500
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,7933.33,0
